identifier,artist,artistFirstName,artistLastName,completed,location,main_image_url
450 E. 22nd St.,Lyle Kissack,Lyle,Kissack,06/21/05 12:00 AM,"-76.60966184335098, 39.31451255374998",https://data.baltimorecity.gov/views/zqh4-9ud5/files/tsVc2_PTp9X90ceLdh6WnmvXOf0VJ_ygp1C-0HCuDc0?filename=Kissack+Mural.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
Baltimore Farmer's Market - Holliday and Saratoga Streets022,John Marra,John,Marra,07/01/05 12:00 AM,"-76.60749999999996, 39.297300000000064",https://data.baltimorecity.gov/views/zqh4-9ud5/files/TVW5F_IYcneLIMXT8z-vh9L1OXLxWEHGVMBab5CTMkw?filename=John++Marra+Farmers%27+Market.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
3120 Erdman Avenue,Paul Bertholet,Paul,Bertholet,07/03/05 12:00 AM,"-76.57272668760766, 39.321059618123286",https://data.baltimorecity.gov/views/zqh4-9ud5/files/TZIEau9xh6-baKmxaRwRSHgiTmY_BJ3o6diJQckOkFU?filename=3120+Erdman+Ave+detail2+P.+Bertholet.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
4337 Park Heights,Danamarie Hosler,Danamarie,Hosler,07/01/05 12:00 AM,"-76.68362000000002, 39.34556999999995",https://data.baltimorecity.gov/views/zqh4-9ud5/files/uQIZ8VHlRLUzRmWsjEi7CepkpUJ226ZdmuLHHVvO-Nw?filename=Danamarie+Hosler+-+4337+Park+Heights.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
27th and Greenmount,Cindy and Lyle Garcia and Kissack,Cindy and Lyle,Garcia and Kissack,06/28/05 12:00 AM,"-76.60331999999988, 39.32947000000013",https://data.baltimorecity.gov/views/zqh4-9ud5/files/urW9R1mu_QlfRVdZpof0SAXzOYCD0XDZOMce6IAqRZ0?filename=27th+and+Greenmount+Cindy+Garcia+and+Lyle+Kissack+MACA.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
837 Washington Blvd.,"Tony, Shawn Shore, James, Access Art","Tony, Shawn","Shore, James, Access Art",06/26/05 12:00 AM,"-76.62996853477262, 39.28291937086067",https://data.baltimorecity.gov/views/zqh4-9ud5/files/vIP_WRhLLi56lGxx4Hot2FYSFtn3jZSlQoyDAT-myVA?filename=Shore+%26+James+-+837+Washington+Blvd.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
1928 Pennsylvania Avenue (mosaic),Julie and Leslie Stovall and Furlong,Julie and Leslie,Stovall and Furlong,06/25/05 12:00 AM,"-76.63742391439547, 39.30581610972661",https://data.baltimorecity.gov/views/zqh4-9ud5/files/vPuecwZ3XZ-voL_8uHWfjXFLgKiWjm5YNZYa68Rz4WY?filename=penn+ave.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
592 Presstman Street,Lyle Kissack,Lyle,Kissack,06/29/05 12:00 AM,"-76.63824285197951, 39.30561263124648",https://data.baltimorecity.gov/views/zqh4-9ud5/files/W_2qfsbzm0AMd5-76Kp340WmqzNLSvVf6Fda3MlgSwk?filename=Newborn+592+Presstman+L.+Kissack.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
3424 Elm Avenue,Charles Lawrence,Charles,Lawrence,07/03/05 12:00 AM,"-76.63118153080997, 39.328900494898825",https://data.baltimorecity.gov/views/zqh4-9ud5/files/W66cyIatj56fOCTIgcw7OKQrW6C64gfCXyGGx56vQA0?filename=IMG_0197%5B1%5D&content_type=image%2Fjpeg%3B+charset%3Dbinary
1000 N. Patterson Park Ave.,Lyle and Gerald Kissack and Ross,Lyle and Gerald,Kissack and Ross,06/19/05 12:00 AM,"-76.58539753018476, 39.30189570183552",https://data.baltimorecity.gov/views/zqh4-9ud5/files/W874qxfXcU-_GlpkmNsrOWWB2PWPUZPPlZ7m9-s62RU?filename=kissack+%26+ross-1000+N.+Patterson+Park+Ave+1.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
3313 Greenmount Avenue,Tom Chalkley,Tom,Chalkley,07/02/05 12:00 AM,"-76.60943701284367, 39.32893767909991",https://data.baltimorecity.gov/views/zqh4-9ud5/files/WBOUy7t4KTEnMAFXbgoZCHcHA_1W9_BlVbKce8fd35A?filename=3313+greenmount+T.+Chalkely+1.jpg&content_type=image%2Fjpeg%3B+charset%3Dbinary
"1200 Hollins Street, Hollins Market Parking Lot",Chevelle M. Moore Jones,Chevelle M.,Moore Jones,06/10/05 12:00 AM,"-76.63671198815629, 39.28764946593816",https://data.baltimorecity.gov/views/zqh4-9ud5/files/WCSfeADmSStVLO47Wfv-jkqsITwMFWc42q_7uSlbVAM?filename=moore+jones+-+1200+hollins+st+market+parking+lot.JPG&content_type=image%2Fjpeg%3B+charset%3Dbinary
